Start,End,Discont,Description,Category,Sub Category
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Feminine,Coats and Blazers
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Feminine,Sweaters and Knitwear
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Masculine,Coats and Blazers
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Masculine,Sweaters and Sweatshirts
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Children,Coats
2020-01-01,2020-01-10,0.4,40% discount during our New Year Winter Sale,Children,Sweaters
2020-03-15,2020-03-31,0.35,35% discount during our Early Spring Collection Refresh,Feminine,Dresses and Jumpsuits
2020-03-15,2020-03-31,0.35,35% discount during our Early Spring Collection Refresh,Feminine,Shirts and Blouses
2020-03-15,2020-03-31,0.35,35% discount during our Early Spring Collection Refresh,Masculine,T-shirts and Polos
2020-03-15,2020-03-31,0.35,35% discount during our Early Spring Collection Refresh,Masculine,Shirts
2020-03-15,2020-03-31,0.35,35% discount during our Early Spring Collection Refresh,Children,"Girl and Boy (1-5 years, 6-14 years)"
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Feminine,T-shirts and Tops
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Feminine,Skirts and Shorts
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Feminine,Dresses and Jumpsuits
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Masculine,T-shirts and Polos
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Masculine,Pants and Jeans
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Children,"Girl and Boy (1-5 years, 6-14 years)"
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Children,Pajamas
2020-05-01,2020-05-15,0.25,25% discount during our Mid-Spring Refresh Sale,Children,Accessories
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Feminine,Dresses and Jumpsuits
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Feminine,Shirts and Blouses
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Feminine,Skirts and Shorts
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Masculine,Shirts
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Masculine,Pants and Jeans
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Children,"Girl and Boy (1-5 years, 6-14 years)"
2020-09-01,2020-09-15,0.45,45% discount during our Fall Collection Launch,Children,Coats
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Feminine,Sweaters and Knitwear
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Feminine,Sportswear
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Masculine,Sweaters and Sweatshirts
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Masculine,Sportswear
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Children,Sweaters
2020-10-01,2020-10-10,0.2,20% discount during our Autumn Essentials Sale,Children,Accessories
2020-11-27,2020-11-27,0.6,60% discount during our Black Friday Mega Sale,,
