Interaction_ID,Customer_ID,Product_ID,Action_Type,Timestamp,Duration_Sec
INT_468452,31756,117,TRY_ON_VIRTUAL,12/26/2022 8:33,74
INT_122671,31756,117,SCAN_STOREFRONT,12/27/2022 9:13,63
INT_411955,31756,117,VIEW_AR_CATALOG,12/27/2022 8:54,40
INT_242483,38375,239,TRY_ON_VIRTUAL,12/31/2022 6:25,56
INT_843974,38375,239,ADD_TO_CART,1/1/2023 6:44,5
INT_908350,38375,239,SCAN_STOREFRONT,12/30/2022 6:21,103
INT_745263,38375,239,SCAN_STOREFRONT,12/26/2022 4:40,64
INT_786976,38375,239,VIEW_AR_CATALOG,1/1/2023 8:50,16
INT_292506,30661,56,VIEW_AR_CATALOG,12/28/2022 15:12,109
INT_639439,30661,56,SCAN_STOREFRONT,12/30/2022 15:25,24
INT_421184,30661,56,TRY_ON_VIRTUAL,12/27/2022 15:52,79
INT_616349,39701,196,VIEW_AR_CATALOG,12/29/2022 18:23,93
INT_867836,39701,196,VIEW_AR_CATALOG,12/30/2022 17:34,114
INT_102869,39701,196,TRY_ON_VIRTUAL,12/31/2022 16:53,65
INT_138467,5118,171,VIEW_AR_CATALOG,12/29/2022 6:39,25
INT_710704,5118,171,VIEW_AR_CATALOG,12/29/2022 7:05,52
INT_500109,5118,171,TRY_ON_VIRTUAL,12/29/2022 8:58,106
INT_250810,45268,186,TRY_ON_VIRTUAL,12/30/2022 14:33,25
INT_469599,45268,186,SCAN_STOREFRONT,12/27/2022 17:20,65
INT_727234,45268,186,SCAN_STOREFRONT,12/30/2022 18:53,21
INT_398356,340260,195,SCAN_STOREFRONT,12/28/2022 10:07,109
INT_889852,340260,195,TRY_ON_VIRTUAL,12/28/2022 6:13,57
INT_559451,340260,195,SCAN_STOREFRONT,12/26/2022 9:14,67
INT_218015,340260,195,TRY_ON_VIRTUAL,12/28/2022 8:12,22
INT_465890,38669,143,TRY_ON_VIRTUAL,12/31/2022 12:01,28
INT_104014,38669,143,ADD_TO_CART,12/31/2022 10:56,70
INT_635017,38669,143,SCAN_STOREFRONT,12/26/2022 13:09,21
INT_598863,27695,143,TRY_ON_VIRTUAL,1/1/2023 12:09,46
INT_335362,27695,143,VIEW_AR_CATALOG,12/26/2022 15:49,28
INT_956748,27695,143,VIEW_AR_CATALOG,12/28/2022 15:39,12
INT_506619,46606,196,TRY_ON_VIRTUAL,12/27/2022 15:02,36
INT_193848,46606,196,VIEW_AR_CATALOG,12/26/2022 16:34,66
INT_155609,46606,196,SCAN_STOREFRONT,12/28/2022 14:55,53
INT_489957,46606,196,VIEW_AR_CATALOG,12/29/2022 14:35,111
INT_351451,19631,15,VIEW_AR_CATALOG,1/1/2023 11:42,9
INT_821772,19631,15,VIEW_AR_CATALOG,12/26/2022 12:50,98
INT_194476,19631,15,ADD_TO_CART,12/26/2022 13:42,110
INT_698135,17707,171,VIEW_AR_CATALOG,12/30/2022 13:31,96
INT_132217,17707,171,ADD_TO_CART,12/31/2022 12:07,27
INT_953049,17707,171,ADD_TO_CART,12/26/2022 13:47,115
INT_763165,17707,171,VIEW_AR_CATALOG,12/31/2022 14:20,93
INT_506716,50829,171,SCAN_STOREFRONT,12/28/2022 12:44,67
INT_352764,50829,171,TRY_ON_VIRTUAL,12/28/2022 12:38,80
INT_955474,50829,171,SCAN_STOREFRONT,12/31/2022 14:52,61
INT_547556,43422,109,VIEW_AR_CATALOG,12/27/2022 15:26,98
INT_406063,43422,109,VIEW_AR_CATALOG,12/27/2022 15:42,52
INT_584963,43422,109,VIEW_AR_CATALOG,12/28/2022 18:27,98
INT_647337,45862,118,ADD_TO_CART,12/26/2022 4:54,104
INT_533374,45862,118,VIEW_AR_CATALOG,12/31/2022 6:04,23
INT_291232,45862,118,TRY_ON_VIRTUAL,12/31/2022 7:28,113
INT_291962,43422,109,SCAN_STOREFRONT,12/30/2022 21:11,16
INT_453824,43422,109,TRY_ON_VIRTUAL,12/30/2022 21:08,55
INT_990123,43422,109,VIEW_AR_CATALOG,12/29/2022 22:10,37
INT_251836,43422,109,VIEW_AR_CATALOG,12/30/2022 23:08,99
INT_979090,43422,109,TRY_ON_VIRTUAL,12/26/2022 19:38,91
INT_712956,12308,108,SCAN_STOREFRONT,12/31/2022 11:52,94
INT_600328,12308,108,TRY_ON_VIRTUAL,12/27/2022 14:21,62
INT_257164,12308,108,ADD_TO_CART,12/28/2022 14:22,40
INT_616771,6935,65,VIEW_AR_CATALOG,12/28/2022 5:48,77
INT_969474,6935,65,TRY_ON_VIRTUAL,12/30/2022 7:00,86
INT_844086,6935,65,ADD_TO_CART,1/1/2023 8:21,41
INT_798646,29714,195,SCAN_STOREFRONT,12/26/2022 15:45,109
INT_734736,29714,195,TRY_ON_VIRTUAL,12/27/2022 11:25,116
INT_664242,29714,195,VIEW_AR_CATALOG,1/1/2023 12:51,16
INT_825256,34448,39,VIEW_AR_CATALOG,1/1/2023 16:18,82
INT_940530,34448,39,TRY_ON_VIRTUAL,12/26/2022 16:42,20
INT_727083,34448,39,VIEW_AR_CATALOG,12/28/2022 16:25,89
INT_389336,61966,117,VIEW_AR_CATALOG,12/26/2022 11:10,57
INT_897606,61966,117,ADD_TO_CART,12/31/2022 10:28,9
INT_174460,61966,117,VIEW_AR_CATALOG,12/30/2022 9:59,22
INT_254697,27568,160,SCAN_STOREFRONT,12/29/2022 13:50,21
INT_625830,27568,160,TRY_ON_VIRTUAL,12/28/2022 10:09,44
INT_905497,27568,160,VIEW_AR_CATALOG,12/31/2022 9:16,33
INT_113807,27568,160,SCAN_STOREFRONT,12/28/2022 11:43,90
INT_792440,27568,160,TRY_ON_VIRTUAL,12/29/2022 11:34,40
INT_303196,1913,39,VIEW_AR_CATALOG,12/29/2022 4:21,43
INT_548345,1913,39,VIEW_AR_CATALOG,12/30/2022 5:34,71
INT_842129,1913,39,TRY_ON_VIRTUAL,12/28/2022 6:35,62
INT_663586,1913,39,TRY_ON_VIRTUAL,12/29/2022 8:55,66
INT_476965,8415,4,SCAN_STOREFRONT,12/26/2022 14:50,49
INT_906991,8415,4,TRY_ON_VIRTUAL,12/28/2022 14:18,79
INT_359747,8415,4,TRY_ON_VIRTUAL,12/29/2022 12:58,24
INT_117640,38960,117,VIEW_AR_CATALOG,12/31/2022 11:46,19
