Product ID,Category,Sub Category,Description PT,Description DE,Description FR,Description ES,Description EN,Description ZH,Color,Sizes,Production Cost,Brand_VN,Name_VN,Price_VND,image_url,model_3d_url
4,Feminine,Shirts and Blouses,Blusa De Algodão Básica,Basis -Baumwollbluse,Chemisier En Coton De Base,Blusa De Algodón,Basic Cotton Blouse,基本的棉衬衫,,S|M|L|XL,27.62,Zara,Zara Basic Streetwear Tee 960,799000,,
5,Feminine,T-shirts and Tops,T-Shirt Básica De Algodão,Basis-Baumwoll-T-Shirt,T-Shirt En Coton De Base,Camiseta Básica De Algodón,Basic Cotton T-Shirt,基本棉T恤,,S|M|L,11.69,DirtyCoins,DirtyCoins Basic Streetwear Tee 120,699000,,
13,Masculine,Sweaters and Sweatshirts,Casual Tricot Vermelho Com Zíper,Lässiger Roter Trikot Mit Reißverschluss,Tricot Rouge Occasionnel Avec Fermeture Éclair,Tricot Rojo Casual Con Cremallera,Casual Red Tricot With Zipper,休闲红色三角形与拉链,RED,M|L|XL|XXL,15.8,Coolmate,Coolmate RED Streetwear Tee 566,699000,,
14,Masculine,T-shirts and Polos,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com Paillettes,Boho Jacquard Branco Com Brillo,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com闪光,,M|L|XL|XXL,8.36,H&M,H&M Basic Streetwear Tee 558,799000,,
15,Masculine,Shirts,Camisa Social Masculina,Herren -Soziales Hemd,Chemise Sociale Pour Hommes,Camisa Social Masculina,Men'S Social Shirt,男士的社交衬衫,,M|L|XL|XXL,6.87,DirtyCoins,DirtyCoins Basic Streetwear Tee 199,799000,,
30,Feminine,Shirts and Blouses,Camisa Social Feminina,Soziales Hemd Von Frauen,Chemise Sociale Des Femmes,Camisa Social Feminina,Women'S Social Shirt,妇女的社交衬衫,,S|M|L|XL,8.55,H&M,H&M Basic Streetwear Tee 761,499000,,
31,Feminine,T-shirts and Tops,Top Cropped De Malha,Kruppiertes Gestricktes Oberteil,Top Cropped De Malha,Cruz Superior De Malla,Cropped Knitted Top,裁剪的针织上衣,,S|M|L|XL,1.86,Coolmate,Coolmate Basic Streetwear Tee 443,599000,,
39,Masculine,Sweaters and Sweatshirts,Casual Camurça Vermelho Com Laço,Lässiges Rotes Wildleder Mit Schleife,Daim Rouge Occasionnel Avec Boucle,Condimento Rojo Casual Con Bucle,Casual Red Suede With Loop,休闲红色绒面革与循环,RED,M|L|XL|XXL,5.24,Coolmate,Coolmate RED Streetwear Tee 291,499000,,
40,Masculine,T-shirts and Polos,Luxuoso Nylon Dourado Com Zíper,Luxuriöser Goldener Nylon Mit Reißverschluss,Nylon En Or Luxueux Avec Fermeture Éclair,Lujoso Nylon De Oro Con Cremallera,Luxurious Gold Nylon With Zipper,带拉链的豪华金尼龙,GOLD,M|L|XL|XXL,8.45,Routine,Routine GOLD Streetwear Tee 559,999000,,
41,Masculine,Shirts,Camisa Polo Masculina,Herren -Polo -Hemd,Polo Pour Hommes,Camisa Polo Masculina,Men'S Polo Shirt,男士马球衬衫,,M|L|XL|XXL,8.13,DirtyCoins,DirtyCoins Basic Streetwear Tee 847,899000,,
56,Feminine,Shirts and Blouses,Blusa De Renda Manga Longa,Long -Schwacher Spitzenbluse,Chemisier De Rendu À Manches Longues,Blusa De Renda Manga Longa,Long -Sleeved Lace Blouse,长 - 衬衫蕾丝上衣,,S|M|L|XL,8.89,Routine,Routine Basic Streetwear Tee 574,999000,,
57,Feminine,T-shirts and Tops,T-Shirt Com Estampa De Bandana,T-Shirt Mit Bandana-Druck,T-Shirt Com Estampa De Bandana,T-Shirt Com Estampa De Bandana,T-Shirt With Bandana Print,带有头巾打印的T恤,,S|M|L|XL,4.75,Zara,Zara Basic Streetwear Tee 799,349000,,
65,Masculine,Sweaters and Sweatshirts,Clássico Renda Verde Estampado,Klassische Grüne Spitze Gestempelt,Dentelle Verte Classique Estampillée,Clasica Clase Verde Estetado,Classic Green Lace Stamped,经典绿色花边盖章,GREEN,M|L|XL|XXL,22.56,Zara,Zara GREEN Streetwear Tee 666,399000,,
66,Masculine,T-shirts and Polos,High-Tech Linho Prateado Bordado,High-Tech Silver Leinen Gestickt,Lin Argenté De Haute Technologie Brodé,Bordado De Lino Plateado De Alta Tecnología,High-Tech Silver Linen Embroidered,高科技银亚麻绣花,SILVER,M|L|XL|XXL,2.6,Routine,Routine SILVER Streetwear Tee 230,499000,,
67,Masculine,Shirts,Camisa De Manga Curta Casual,Lässiges Kurzarmhemd,Chemise À Manches Courtes Décontractées,Camisa De Manga Curta Casual,Casual Short Sleeve Shirt,休闲短袖衬衫,,M|L|XL|XXL,14.08,H&M,H&M Basic Streetwear Tee 746,499000,,
82,Feminine,Shirts and Blouses,Camisa Jeans Feminina,Frauen -Denim -Hemd,Chemise En Jean Pour Femmes,Camisa Jeans Feminina,Women'S Denim Shirt,女子牛仔衬衫,,S|M|L|XL,6.72,Routine,Routine Basic Streetwear Tee 266,299000,,
83,Feminine,T-shirts and Tops,Top De Alça Fininha,Dünn,Mince,Delgado,Thin,薄的,,S|M|L|XL,10.44,Zara,Zara Basic Streetwear Tee 700,299000,,
91,Masculine,Sweaters and Sweatshirts,Luxuoso Veludo Neutro Com Botões,Luxuriöser Neutraler Samt Mit Knöpfen,Velours Neutre Luxueux Avec Boutons,Lujoso Terciopelo Neutro Con Botones,Luxurious Neutral Velvet With Buttons,豪华的中性天鹅绒和纽扣,NEUTRAL,M|L|XL,21.63,Coolmate,Coolmate NEUTRAL Streetwear Tee 876,999000,,
92,Masculine,T-shirts and Polos,Formal Seda Turquesa Acolchoado,Formelle Türkunische Seide Gepolstert,En Soie Turtuelle Formelle Rembourrée,Formal Seda Turquesa Acolchoado,Formal Turquess Silk Padded,Tur,,M|L|XL|XXL,4.62,DirtyCoins,DirtyCoins Basic Streetwear Tee 997,399000,,
93,Masculine,Shirts,Camisa Xadrez Masculina,Herren -Kariertes Hemd,Chemise À Carreaux Masculine,Camisa Xadrez Masculina,Men'S Plaid Shirt,男士格子衬衫,,M|L|XL|XXL,4.42,Zara,Zara Basic Streetwear Tee 466,699000,,
108,Feminine,Shirts and Blouses,Blusa Ciganinha Ombro A Ombro,Schulter -Shoulder -Zigeunerbluse,Chemisier Gitan À Épaule À Épaule,Hombro -Para Holgar Blusa Gitana,Shoulder -To -Shoulder Gypsy Blouse,肩膀 - 盖吉普赛上衣,,S|M|L|XL,19.77,Zara,Zara Basic Streetwear Tee 608,799000,,
109,Feminine,T-shirts and Tops,T-Shirt Oversized Estampada,T-Shirt Übergroße Estampada,T-Shirt Surdimensionné Estampada,Camiseta Estampada De Gran Tamaño,T-Shirt Oversized Estampada,T恤超大的Estampada,,S|M|L|XL,9.05,H&M,H&M Basic Streetwear Tee 305,249000,,
117,Masculine,Sweaters and Sweatshirts,Boho Linho Verde Bordado,Boho Green Fink Emberade,Boho Green Fink Emberade,Boho Linho Verde Bordado,Boho Green Fink Emberade,波西米亚风绿色的芬克恩,GREEN,M|L|XL,15.69,Zara,Zara GREEN Streetwear Tee 661,799000,,
