Year_Week,Week_Start_Date,Product_ID,Category,Base_Price,Selling_Price,Is_Promo,Qty_Sold,Revenue_Realized,Qty_Sold_Lag1,Qty_Sold_Avg_4W,Sales_Velocity,Views_Last_1W,TryOn_Last_1W,Cart_Adds_Last_1W,Discount_Depth,Price_Change_Rate
2022-W04,2022-01-24,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W05,2022-01-31,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W06,2022-02-07,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W07,2022-02-14,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W08,2022-02-21,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W09,2022-02-28,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W10,2022-03-07,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W11,2022-03-14,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W12,2022-03-21,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W13,2022-03-28,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W14,2022-04-04,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W15,2022-04-11,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W16,2022-04-18,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W17,2022-04-25,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
2022-W18,2022-05-02,4,Feminine,799000,674000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15644555694618267,0.0
