Product ID,Price,Start_Date,End_Date,Is_Promo,Event
4,674000,2022-01-01,2022-11-14,0,Standard 2022
4,572000,2022-11-15,2022-11-30,1,Black Friday 2022
4,694000,2022-12-01,2023-01-10,0,Pre-Tet
4,726000,2023-01-01,2023-11-14,0,Standard 2023
4,566000,2023-11-15,2023-11-30,1,Black Friday 2023
4,743000,2023-12-01,2024-01-10,0,Pre-Tet
4,799000,2024-01-01,2024-11-14,0,Standard 2024
4,559300,2024-11-15,2024-11-30,1,Black Friday 2024
4,799000,2024-12-01,2025-01-10,0,Pre-Tet
4,719100,2025-01-11,2025-01-31,1,Tet Sale 2025
4,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
4,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
4,838950,2025-07-16,2025-12-15,0,Standard End 2025
5,601000,2022-01-01,2022-11-14,0,Standard 2022
5,485000,2022-11-15,2022-11-30,1,Black Friday 2022
5,627000,2022-12-01,2023-01-10,0,Pre-Tet
5,652000,2023-01-01,2023-11-14,0,Standard 2023
5,481000,2023-11-15,2023-11-30,1,Black Friday 2023
5,654000,2023-12-01,2024-01-10,0,Pre-Tet
5,699000,2024-01-01,2024-11-14,0,Standard 2024
5,489299,2024-11-15,2024-11-30,1,Black Friday 2024
5,699000,2024-12-01,2025-01-10,0,Pre-Tet
5,594150,2025-01-11,2025-01-31,1,Tet Sale 2025
5,699000,2025-02-01,2025-05-31,0,Standard Spring 2025
5,629100,2025-06-01,2025-07-15,1,Summer Sale 2025
5,733950,2025-07-16,2025-12-15,0,Standard End 2025
13,613000,2022-01-01,2022-11-14,0,Standard 2022
13,489000,2022-11-15,2022-11-30,1,Black Friday 2022
13,619000,2022-12-01,2023-01-10,0,Pre-Tet
13,666000,2023-01-01,2023-11-14,0,Standard 2023
13,498000,2023-11-15,2023-11-30,1,Black Friday 2023
13,655000,2023-12-01,2024-01-10,0,Pre-Tet
13,699000,2024-01-01,2024-11-14,0,Standard 2024
13,489299,2024-11-15,2024-11-30,1,Black Friday 2024
13,699000,2024-12-01,2025-01-10,0,Pre-Tet
13,629100,2025-01-11,2025-01-31,1,Tet Sale 2025
13,699000,2025-02-01,2025-05-31,0,Standard Spring 2025
13,629100,2025-06-01,2025-07-15,1,Summer Sale 2025
13,733950,2025-07-16,2025-12-15,0,Standard End 2025
14,696000,2022-01-01,2022-11-14,0,Standard 2022
14,638000,2022-11-15,2022-11-30,1,Black Friday 2022
14,713000,2022-12-01,2023-01-10,0,Pre-Tet
14,735000,2023-01-01,2023-11-14,0,Standard 2023
14,641000,2023-11-15,2023-11-30,1,Black Friday 2023
14,753000,2023-12-01,2024-01-10,0,Pre-Tet
14,799000,2024-01-01,2024-11-14,0,Standard 2024
14,639200,2024-11-15,2024-11-30,1,Black Friday 2024
14,799000,2024-12-01,2025-01-10,0,Pre-Tet
14,719100,2025-01-11,2025-01-31,1,Tet Sale 2025
14,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
14,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
14,838950,2025-07-16,2025-12-15,0,Standard End 2025
15,672000,2022-01-01,2022-11-14,0,Standard 2022
15,646000,2022-11-15,2022-11-30,1,Black Friday 2022
15,702000,2022-12-01,2023-01-10,0,Pre-Tet
15,724000,2023-01-01,2023-11-14,0,Standard 2023
15,649000,2023-11-15,2023-11-30,1,Black Friday 2023
15,741000,2023-12-01,2024-01-10,0,Pre-Tet
15,799000,2024-01-01,2024-11-14,0,Standard 2024
