Sales_Date,Store ID,Product ID,Quantity,Revenue,day_of_week,month,is_weekend
2023-01-01,1,4,2,90.0,6,1,True
2023-01-01,1,13,1,14.1,6,1,True
2023-01-01,1,15,2,50.0,6,1,True
2023-01-01,1,39,8,34.2,6,1,True
2023-01-01,1,56,2,30.0,6,1,True
2023-01-01,1,65,4,79.2,6,1,True
2023-01-01,1,91,1,21.3,6,1,True
2023-01-01,1,92,6,78.0,6,1,True
2023-01-01,1,93,3,75.0,6,1,True
2023-01-01,1,108,1,31.5,6,1,True
2023-01-01,1,109,3,19.0,6,1,True
2023-01-01,1,117,4,73.2,6,1,True
2023-01-01,1,118,1,42.5,6,1,True
2023-01-01,1,134,1,34.5,6,1,True
2023-01-01,1,143,4,86.4,6,1,True
2023-01-01,1,145,1,26.0,6,1,True
2023-01-01,1,160,3,76.5,6,1,True
2023-01-01,1,169,2,49.8,6,1,True
2023-01-01,1,170,1,34.0,6,1,True
2023-01-01,1,171,4,84.0,6,1,True
2023-01-01,1,186,1,23.0,6,1,True
2023-01-01,1,187,1,26.0,6,1,True
2023-01-01,1,195,3,60.300000000000004,6,1,True
2023-01-01,1,196,5,95.0,6,1,True
2023-01-01,1,197,1,28.0,6,1,True
2023-01-01,1,221,2,40.8,6,1,True
2023-01-01,1,223,1,16.0,6,1,True
2023-01-01,1,238,1,30.5,6,1,True
2023-01-01,1,239,1,18.0,6,1,True
2023-01-01,1,247,2,42.0,6,1,True
2023-01-01,1,248,3,40.5,6,1,True
2023-01-01,1,249,1,26.0,6,1,True
2023-01-01,2,4,1,45.0,6,1,True
2023-01-01,2,13,2,28.2,6,1,True
2023-01-01,2,14,1,19.0,6,1,True
2023-01-01,2,30,1,26.0,6,1,True
2023-01-01,2,31,1,14.0,6,1,True
2023-01-01,2,39,5,85.5,6,1,True
2023-01-01,2,40,1,16.0,6,1,True
2023-01-01,2,41,1,21.0,6,1,True
2023-01-01,2,56,1,15.0,6,1,True
2023-01-01,2,57,2,31.0,6,1,True
2023-01-01,2,67,2,57.0,6,1,True
2023-01-01,2,93,1,25.0,6,1,True
2023-01-01,2,117,5,91.5,6,1,True
2023-01-01,2,118,2,85.0,6,1,True
2023-01-01,2,143,4,86.4,6,1,True
2023-01-01,2,144,1,43.0,6,1,True
2023-01-01,2,145,2,52.0,6,1,True
2023-01-01,2,169,1,24.9,6,1,True
2023-01-01,2,187,1,26.0,6,1,True
2023-01-01,2,195,3,60.300000000000004,6,1,True
2023-01-01,2,197,1,28.0,6,1,True
2023-01-01,2,221,1,20.4,6,1,True
2023-01-01,2,222,1,18.5,6,1,True
2023-01-01,2,238,1,30.5,6,1,True
2023-01-01,2,247,1,21.0,6,1,True
2023-01-01,2,249,1,26.0,6,1,True
2023-01-01,3,13,1,14.1,6,1,True
2023-01-01,3,30,1,26.0,6,1,True
2023-01-01,3,39,3,51.300000000000004,6,1,True
2023-01-01,3,82,2,37.0,6,1,True
2023-01-01,3,91,1,21.3,6,1,True
2023-01-01,3,117,1,18.3,6,1,True
2023-01-01,3,119,1,23.0,6,1,True
2023-01-01,3,134,1,34.5,6,1,True
2023-01-01,3,144,1,43.0,6,1,True
2023-01-01,3,160,1,25.5,6,1,True
2023-01-01,3,171,1,21.0,6,1,True
2023-01-01,3,195,1,20.1,6,1,True
2023-01-01,3,196,1,19.0,6,1,True
2023-01-01,3,197,1,28.0,6,1,True
2023-01-01,3,213,1,27.5,6,1,True
2023-01-01,3,221,1,20.4,6,1,True
2023-01-01,3,238,1,30.5,6,1,True
2023-01-01,3,247,1,21.0,6,1,True
2023-01-01,4,5,1,17.0,6,1,True
2023-01-01,4,13,3,42.3,6,1,True
2023-01-01,4,15,2,50.0,6,1,True
2023-01-01,4,31,1,14.0,6,1,True
2023-01-01,4,39,1,17.1,6,1,True
2023-01-01,4,40,1,16.0,6,1,True
2023-01-01,4,65,4,79.2,6,1,True
2023-01-01,4,67,1,28.5,6,1,True
2023-01-01,4,91,3,63.900000000000006,6,1,True
2023-01-01,4,92,3,39.0,6,1,True
2023-01-01,4,117,1,18.3,6,1,True
2023-01-01,4,118,3,127.5,6,1,True
2023-01-01,4,144,1,43.0,6,1,True
2023-01-01,4,145,1,26.0,6,1,True
2023-01-01,4,195,3,60.300000000000004,6,1,True
2023-01-01,4,221,1,20.4,6,1,True
2023-01-01,4,222,1,18.5,6,1,True
2023-01-01,4,239,1,18.0,6,1,True
2023-01-01,4,247,1,21.0,6,1,True
2023-01-01,4,249,1,26.0,6,1,True
2023-01-01,5,5,1,17.0,6,1,True
2023-01-01,5,13,1,14.1,6,1,True
2023-01-01,5,31,1,14.0,6,1,True
2023-01-01,5,41,1,21.0,6,1,True
2023-01-01,5,65,1,19.8,6,1,True
2023-01-01,5,118,1,42.5,6,1,True
2023-01-01,5,143,3,64.80000000000001,6,1,True
2023-01-01,5,144,2,86.0,6,1,True
2023-01-01,5,160,1,25.5,6,1,True
2023-01-01,5,171,3,63.0,6,1,True
2023-01-01,5,195,1,20.1,6,1,True
2023-01-01,5,213,1,27.5,6,1,True
2023-01-01,5,221,2,40.8,6,1,True
2023-01-01,6,14,1,145.5,6,1,True
2023-01-01,6,65,2,304.2,6,1,True
2023-01-01,6,67,1,218.5,6,1,True
2023-01-01,6,82,1,142.5,6,1,True
2023-01-01,6,92,1,99.0,6,1,True
2023-01-01,6,108,1,241.5,6,1,True
2023-01-01,6,109,1,145.5,6,1,True
2023-01-01,6,117,3,419.4,6,1,True
2023-01-01,6,143,1,165.9,6,1,True
2023-01-01,6,169,2,384.6,6,1,True
2023-01-01,6,196,1,145.5,6,1,True
2023-01-01,6,223,2,245.0,6,1,True
2023-01-01,6,238,1,236.0,6,1,True
2023-01-01,6,248,3,102.0,6,1,True
2023-01-01,6,249,1,201.0,6,1,True
2023-01-01,7,57,1,119.5,6,1,True
2023-01-01,7,65,2,304.2,6,1,True
2023-01-01,7,83,1,201.0,6,1,True
2023-01-01,7,117,3,419.4,6,1,True
2023-01-01,7,118,1,326.0,6,1,True
2023-01-01,7,143,1,165.9,6,1,True
2023-01-01,7,187,1,198.0,6,1,True
2023-01-01,7,195,1,155.4,6,1,True
